"Boss","Zone","Tier","TierName","Difficulty","CustomClimax","DesignSummary","IntendedBuild","TargetClearTime","Level","HP_1PC","HP_2PC","HP_3PlusPC","PopCostHuntMarks","BaseInfamy","BaseGil","BaseCruor","ATT_Add","DEF_Add","MATT_Add","ACC_Add","EVA_Add","MACC_Add","MEVA_Add","WeaponDMG_Add","DoubleAttackPct_Add","HastePct_Add","AllElementMEVA_Add","FirstSignatureSec","RepeatIntervalSec","PressureStartsSec","PressureStepSec","RepeatTitle","RepeatType","RepeatTell","RepeatCounter","RepeatWindowSec","RepeatFailDamagePctMaxHP","RepeatFailStatus","RepeatStatusDurationSec","RepeatFailMessage","RepeatSuccessMessage","RepeatSuccessReward","Phase70Title","Phase70Type","Phase70Tell","Phase70Counter","Phase70WindowSec","Phase70FailDamagePctMaxHP","Phase70FailStatus","Phase70StatusDurationSec","Phase70FailMessage","Phase70SuccessMessage","Phase70SuccessReward","Phase30Title","Phase30Type","Phase30Tell","Phase30Counter","Phase30WindowSec","Phase30FailDamagePctMaxHP","Phase30FailStatus","Phase30StatusDurationSec","Phase30FailMessage","Phase30SuccessMessage","Phase30SuccessReward","FailEscalationPerStack","PressurePerStack","OwnerRule","ProcRules","RewardRules","SourceKey"
"Treble Noctules","Abyssea - Tahrongi","1","Visions","Entry","No","Standard Visions encounter: one mechanic taught repeatedly and reinforced at both phase floors.","Enhanced Relic; no Atma assumed","5-7 min solo","120","4000000","6200000","8400000","200","25","250000","1000","6500","850","2000","700","800","700","250","300","20","10","50","24","52","240","30","Threefold Screech","far","Threefold Screech - three throats inhale; spread beyond 13 yalms!","Move at least 13 yalms from the boss.","5","20","PLAGUE","6","The harmonics overwhelm you.","The harmonics break apart.","10s vulnerability: DEF -300, EVA -100, MDEF -35; also removes one escalation stack.","Threefold Screech","far","At 70%: Threefold Screech - three throats inhale; spread beyond 13 yalms!","Move at least 13 yalms from the boss.","5","20","PLAGUE","6","The harmonics overwhelm you.","The harmonics break apart.","10s vulnerability: DEF -300, EVA -100, MDEF -35; also removes one escalation stack.","Threefold Screech","far","Final test at 30%: Threefold Screech - three throats inhale; spread beyond 13 yalms!","Move at least 13 yalms from the boss.","4","25","PLAGUE","6","The harmonics overwhelm you.","The harmonics break apart.","12s vulnerability: DEF -300, EVA -100, MDEF -35; also removes one escalation stack.","ATT +500; MATT +200","ATT +175; MATT +55; Haste +0.25%","Only the player who popped the NM is checked; Trust actions do not fail hold-fire tests.","Red removes one escalation stack; Yellow suppresses spells and opens magic vulnerability; Blue suppresses TP moves and opens physical vulnerability.","First logical clear refunds half pop cost. 2+ real PCs: x2 Gil/Infamy. No Trusts: x1.5. Bonuses stack to x3.","treblenoctules"
"Glavoid","Abyssea - Tahrongi","1","Visions","Entry","Yes","Flagship encounter: repeats its signature, repeats it at 70%, then changes to a bespoke climax at 30%.","Enhanced Relic; no Atma assumed","5-7 min solo","120","4000000","6200000","8400000","200","25","250000","1000","6500","850","2000","700","800","700","250","300","20","10","50","24","52","240","30","Gorge","far","Gorge - it opens its maw; retreat beyond 12 yalms!","Move at least 12 yalms from the boss.","5","20","SLOW","6","Gorge steals your vitality for Disgorge.","Glavoid stores no stolen life.","10s vulnerability: DEF -300, EVA -100, MDEF -35; also removes one escalation stack.","Gorge","far","At 70%: Gorge - it opens its maw; retreat beyond 12 yalms!","Move at least 12 yalms from the boss.","5","20","SLOW","6","Gorge steals your vitality for Disgorge.","Glavoid stores no stolen life.","10s vulnerability: DEF -300, EVA -100, MDEF -35; also removes one escalation stack.","Disgorge","rear","Final test at 30%: Disgorge - the stored torrent aims forward; reach its rear!","Move behind the boss (default safe rear arc is approximately 48 degrees).","4","25","CURSE_I","6","Disgorge crashes through you.","The torrent tears open Glavoid instead.","15s vulnerability: DEF -300, EVA -100, MDEF -35; also removes one escalation stack.","ATT +500; MATT +200","ATT +175; MATT +55; Haste +0.25%","Only the player who popped the NM is checked; Trust actions do not fail hold-fire tests.","Red removes one escalation stack; Yellow suppresses spells and opens magic vulnerability; Blue suppresses TP moves and opens physical vulnerability.","First logical clear refunds half pop cost. 2+ real PCs: x2 Gil/Infamy. No Trusts: x1.5. Bonuses stack to x3.","glavoid"
"Lacovie","Abyssea - Tahrongi","1","Visions","Entry","No","Standard Visions encounter: one mechanic taught repeatedly and reinforced at both phase floors.","Enhanced Relic; no Atma assumed","5-7 min solo","120","4000000","6200000","8400000","200","25","250000","1000","6500","850","2000","700","800","700","250","300","20","10","50","24","52","240","30","Chipped Bastion","burst","Chipped Bastion - its shell seals; crack 4% HP before it locks!","Deal 4% of maximum HP before the check: 160,000 solo / 248,000 with 2 PCs / 336,000 with 3+ PCs.","5","20","POISON","6","The bastion hardens.","The shell fractures.","10s vulnerability: DEF -300, EVA -100, MDEF -35; also removes one escalation stack.","Chipped Bastion","burst","At 70%: Chipped Bastion - its shell seals; crack 4% HP before it locks!","Deal 4% of maximum HP before the check: 160,000 solo / 248,000 with 2 PCs / 336,000 with 3+ PCs.","5","20","POISON","6","The bastion hardens.","The shell fractures.","10s vulnerability: DEF -300, EVA -100, MDEF -35; also removes one escalation stack.","Chipped Bastion","burst","Final test at 30%: Chipped Bastion - its shell seals; crack 4% HP before it locks!","Deal 4% of maximum HP before the check: 160,000 solo / 248,000 with 2 PCs / 336,000 with 3+ PCs.","4","25","POISON","6","The bastion hardens.","The shell fractures.","12s vulnerability: DEF -300, EVA -100, MDEF -35; also removes one escalation stack.","ATT +500; MATT +200","ATT +175; MATT +55; Haste +0.25%","Only the player who popped the NM is checked; Trust actions do not fail hold-fire tests.","Red removes one escalation stack; Yellow suppresses spells and opens magic vulnerability; Blue suppresses TP moves and opens physical vulnerability.","First logical clear refunds half pop cost. 2+ real PCs: x2 Gil/Infamy. No Trusts: x1.5. Bonuses stack to x3.","lacovie"
"Chloris","Abyssea - Tahrongi","1","Visions","Entry","Yes","Flagship encounter: repeats its signature, repeats it at 70%, then changes to a bespoke climax at 30%.","Enhanced Relic; no Atma assumed","5-7 min solo","120","4000000","6200000","8400000","200","25","250000","1000","6500","850","2000","700","800","700","250","300","20","10","50","24","52","240","30","Phaeosynthesis","burst","Phaeosynthesis - a solar bloom opens; deal 3% HP to uproot it!","Deal 3% of maximum HP before the check: 120,000 solo / 186,000 with 2 PCs / 252,000 with 3+ PCs.","5","20","SLOW","6","The bloom feeds Chloris a furious vigor.","The bloom ruptures and Chloris wilts.","10s vulnerability: DEF -300, EVA -100, MDEF -35; also removes one escalation stack.","Phaeosynthesis","burst","At 70%: Phaeosynthesis - a solar bloom opens; deal 3% HP to uproot it!","Deal 3% of maximum HP before the check: 120,000 solo / 186,000 with 2 PCs / 252,000 with 3+ PCs.","5","20","SLOW","6","The bloom feeds Chloris a furious vigor.","The bloom ruptures and Chloris wilts.","10s vulnerability: DEF -300, EVA -100, MDEF -35; also removes one escalation stack.","Fatal Scream","weaponskill","Final test at 30%: Fatal Scream - Doom gathers in its throat; answer with a weapon skill!","The fight owner must use any weapon skill during the window.","4","25","DOOM","8","A brief Doom shadow falls over you.","The scream breaks into a stagger.","14s vulnerability: DEF -300, EVA -100, MDEF -35; also removes one escalation stack.","ATT +500; MATT +200","ATT +175; MATT +55; Haste +0.25%","Only the player who popped the NM is checked; Trust actions do not fail hold-fire tests.","Red removes one escalation stack; Yellow suppresses spells and opens magic vulnerability; Blue suppresses TP moves and opens physical vulnerability.","First logical clear refunds half pop cost. 2+ real PCs: x2 Gil/Infamy. No Trusts: x1.5. Bonuses stack to x3.","chloris"
"La Theine Liege","Abyssea - La Theine","1","Visions","Entry","No","Standard Visions encounter: one mechanic taught repeatedly and reinforced at both phase floors.","Enhanced Relic; no Atma assumed","5-7 min solo","120","4000000","6200000","8400000","200","25","250000","1000","6500","850","2000","700","800","700","250","300","20","10","50","24","52","240","30","Transparent Wing","turn","Transparent Wing - the wing catches the light; turn away!","Turn away; the owner must not be facing the boss when the check resolves.","5","20","BLINDNESS","6","The mirage steals your sight.","The false image dissolves.","10s vulnerability: DEF -300, EVA -100, MDEF -35; also removes one escalation stack.","Transparent Wing","turn","At 70%: Transparent Wing - the wing catches the light; turn away!","Turn away; the owner must not be facing the boss when the check resolves.","5","20","BLINDNESS","6","The mirage steals your sight.","The false image dissolves.","10s vulnerability: DEF -300, EVA -100, MDEF -35; also removes one escalation stack.","Transparent Wing","turn","Final test at 30%: Transparent Wing - the wing catches the light; turn away!","Turn away; the owner must not be facing the boss when the check resolves.","4","25","BLINDNESS","6","The mirage steals your sight.","The false image dissolves.","12s vulnerability: DEF -300, EVA -100, MDEF -35; also removes one escalation stack.","ATT +500; MATT +200","ATT +175; MATT +55; Haste +0.25%","Only the player who popped the NM is checked; Trust actions do not fail hold-fire tests.","Red removes one escalation stack; Yellow suppresses spells and opens magic vulnerability; Blue suppresses TP moves and opens physical vulnerability.","First logical clear refunds half pop cost. 2+ real PCs: x2 Gil/Infamy. No Trusts: x1.5. Bonuses stack to x3.","latheineliege"
"Poroggo Dom Juan","Abyssea - La Theine","1","Visions","Entry","No","Standard Visions encounter: one mechanic taught repeatedly and reinforced at both phase floors.","Enhanced Relic; no Atma assumed","5-7 min solo","120","4000000","6200000","8400000","200","25","250000","1000","6500","850","2000","700","800","700","250","300","20","10","50","24","52","240","30","Bug-Eaten Hex","move","Bug-Eaten Hex - the hat marks your ground; move 8 yalms!","Move at least 8 yalms from the position where the tell began.","5","20","SLOW","6","The hex binds your thoughts.","The hex lands on empty earth.","10s vulnerability: DEF -300, EVA -100, MDEF -35; also removes one escalation stack.","Bug-Eaten Hex","move","At 70%: Bug-Eaten Hex - the hat marks your ground; move 8 yalms!","Move at least 8 yalms from the position where the tell began.","5","20","SLOW","6","The hex binds your thoughts.","The hex lands on empty earth.","10s vulnerability: DEF -300, EVA -100, MDEF -35; also removes one escalation stack.","Bug-Eaten Hex","move","Final test at 30%: Bug-Eaten Hex - the hat marks your ground; move 8 yalms!","Move at least 8 yalms from the position where the tell began.","4","25","SLOW","6","The hex binds your thoughts.","The hex lands on empty earth.","12s vulnerability: DEF -300, EVA -100, MDEF -35; also removes one escalation stack.","ATT +500; MATT +200","ATT +175; MATT +55; Haste +0.25%","Only the player who popped the NM is checked; Trust actions do not fail hold-fire tests.","Red removes one escalation stack; Yellow suppresses spells and opens magic vulnerability; Blue suppresses TP moves and opens physical vulnerability.","First logical clear refunds half pop cost. 2+ real PCs: x2 Gil/Infamy. No Trusts: x1.5. Bonuses stack to x3.","poroggodomjuan"
"Lugarhoo","Abyssea - La Theine","1","Visions","Entry","No","Standard Visions encounter: one mechanic taught repeatedly and reinforced at both phase floors.","Enhanced Relic; no Atma assumed","5-7 min solo","120","4000000","6200000","8400000","200","25","250000","1000","6500","850","2000","700","800","700","250","300","20","10","50","24","52","240","30","Filthy-Claw Pounce","near","Filthy-Claw Pounce - it springs from afar; close inside 6 yalms!","Move within 6 yalms of the boss.","5","20","SILENCE","6","The pounce tears through you.","You spoil the pounce.","10s vulnerability: DEF -300, EVA -100, MDEF -35; also removes one escalation stack.","Filthy-Claw Pounce","near","At 70%: Filthy-Claw Pounce - it springs from afar; close inside 6 yalms!","Move within 6 yalms of the boss.","5","20","SILENCE","6","The pounce tears through you.","You spoil the pounce.","10s vulnerability: DEF -300, EVA -100, MDEF -35; also removes one escalation stack.","Filthy-Claw Pounce","near","Final test at 30%: Filthy-Claw Pounce - it springs from afar; close inside 6 yalms!","Move within 6 yalms of the boss.","4","25","SILENCE","6","The pounce tears through you.","You spoil the pounce.","12s vulnerability: DEF -300, EVA -100, MDEF -35; also removes one escalation stack.","ATT +500; MATT +200","ATT +175; MATT +55; Haste +0.25%","Only the player who popped the NM is checked; Trust actions do not fail hold-fire tests.","Red removes one escalation stack; Yellow suppresses spells and opens magic vulnerability; Blue suppresses TP moves and opens physical vulnerability.","First logical clear refunds half pop cost. 2+ real PCs: x2 Gil/Infamy. No Trusts: x1.5. Bonuses stack to x3.","lugarhoo"
"Dozing Dorian","Abyssea - La Theine","1","Visions","Entry","No","Standard Visions encounter: one mechanic taught repeatedly and reinforced at both phase floors.","Enhanced Relic; no Atma assumed","5-7 min solo","120","4000000","6200000","8400000","200","25","250000","1000","6500","850","2000","700","800","700","250","300","20","10","50","24","52","240","30","Drowsing Stomp","face","Drowsing Stomp - it tries to lull you; face the threat!","Face the boss when the check resolves.","5","20","PLAGUE","6","Drowsiness slows every response.","Your focus breaks the lull.","10s vulnerability: DEF -300, EVA -100, MDEF -35; also removes one escalation stack.","Drowsing Stomp","face","At 70%: Drowsing Stomp - it tries to lull you; face the threat!","Face the boss when the check resolves.","5","20","PLAGUE","6","Drowsiness slows every response.","Your focus breaks the lull.","10s vulnerability: DEF -300, EVA -100, MDEF -35; also removes one escalation stack.","Drowsing Stomp","face","Final test at 30%: Drowsing Stomp - it tries to lull you; face the threat!","Face the boss when the check resolves.","4","25","PLAGUE","6","Drowsiness slows every response.","Your focus breaks the lull.","12s vulnerability: DEF -300, EVA -100, MDEF -35; also removes one escalation stack.","ATT +500; MATT +200","ATT +175; MATT +55; Haste +0.25%","Only the player who popped the NM is checked; Trust actions do not fail hold-fire tests.","Red removes one escalation stack; Yellow suppresses spells and opens magic vulnerability; Blue suppresses TP moves and opens physical vulnerability.","First logical clear refunds half pop cost. 2+ real PCs: x2 Gil/Infamy. No Trusts: x1.5. Bonuses stack to x3.","dozingdorian"
"Toppling Tuber","Abyssea - La Theine","1","Visions","Entry","No","Standard Visions encounter: one mechanic taught repeatedly and reinforced at both phase floors.","Enhanced Relic; no Atma assumed","5-7 min solo","120","4000000","6200000","8400000","200","25","250000","1000","6500","850","2000","700","800","700","250","300","20","10","50","24","52","240","30","Agaricus Roll","far","Agaricus Roll - the giant cap topples; retreat 10 yalms!","Move at least 10 yalms from the boss.","5","20","AMNESIA","6","The cap crushes and spores you.","The cap crashes short.","10s vulnerability: DEF -300, EVA -100, MDEF -35; also removes one escalation stack.","Agaricus Roll","far","At 70%: Agaricus Roll - the giant cap topples; retreat 10 yalms!","Move at least 10 yalms from the boss.","5","20","AMNESIA","6","The cap crushes and spores you.","The cap crashes short.","10s vulnerability: DEF -300, EVA -100, MDEF -35; also removes one escalation stack.","Agaricus Roll","far","Final test at 30%: Agaricus Roll - the giant cap topples; retreat 10 yalms!","Move at least 10 yalms from the boss.","4","25","AMNESIA","6","The cap crushes and spores you.","The cap crashes short.","12s vulnerability: DEF -300, EVA -100, MDEF -35; also removes one escalation stack.","ATT +500; MATT +200","ATT +175; MATT +55; Haste +0.25%","Only the player who popped the NM is checked; Trust actions do not fail hold-fire tests.","Red removes one escalation stack; Yellow suppresses spells and opens magic vulnerability; Blue suppresses TP moves and opens physical vulnerability.","First logical clear refunds half pop cost. 2+ real PCs: x2 Gil/Infamy. No Trusts: x1.5. Bonuses stack to x3.","topplingtuber"
"Grandgousier","Abyssea - La Theine","1","Visions","Entry","No","Standard Visions encounter: one mechanic taught repeatedly and reinforced at both phase floors.","Enhanced Relic; no Atma assumed","5-7 min solo","120","4000000","6200000","8400000","200","25","250000","1000","6500","850","2000","700","800","700","250","300","20","10","50","24","52","240","30","Massive Armband","rear","Massive Armband - its arms sweep forward; circle behind!","Move behind the boss (default safe rear arc is approximately 48 degrees).","5","20","POISON","6","The sweeping blow catches you.","The armbands drag it off balance.","10s vulnerability: DEF -300, EVA -100, MDEF -35; also removes one escalation stack.","Massive Armband","rear","At 70%: Massive Armband - its arms sweep forward; circle behind!","Move behind the boss (default safe rear arc is approximately 48 degrees).","5","20","POISON","6","The sweeping blow catches you.","The armbands drag it off balance.","10s vulnerability: DEF -300, EVA -100, MDEF -35; also removes one escalation stack.","Massive Armband","rear","Final test at 30%: Massive Armband - its arms sweep forward; circle behind!","Move behind the boss (default safe rear arc is approximately 48 degrees).","4","25","POISON","6","The sweeping blow catches you.","The armbands drag it off balance.","12s vulnerability: DEF -300, EVA -100, MDEF -35; also removes one escalation stack.","ATT +500; MATT +200","ATT +175; MATT +55; Haste +0.25%","Only the player who popped the NM is checked; Trust actions do not fail hold-fire tests.","Red removes one escalation stack; Yellow suppresses spells and opens magic vulnerability; Blue suppresses TP moves and opens physical vulnerability.","First logical clear refunds half pop cost. 2+ real PCs: x2 Gil/Infamy. No Trusts: x1.5. Bonuses stack to x3.","grandgousier"
"Adamastor","Abyssea - La Theine","1","Visions","Entry","No","Standard Visions encounter: one mechanic taught repeatedly and reinforced at both phase floors.","Enhanced Relic; no Atma assumed","5-7 min solo","120","4000000","6200000","8400000","200","25","250000","1000","6500","850","2000","700","800","700","250","300","20","10","50","24","52","240","30","Trophy Shield","hold","Trophy Shield - the shield waits to counter; hold attacks!","Stop all owner damage: disengage/turn, do not weapon skill, and let the window expire.","5","20","PARALYSIS","6","The shield returns your force.","The shield lowers.","10s vulnerability: DEF -300, EVA -100, MDEF -35; also removes one escalation stack.","Trophy Shield","hold","At 70%: Trophy Shield - the shield waits to counter; hold attacks!","Stop all owner damage: disengage/turn, do not weapon skill, and let the window expire.","5","20","PARALYSIS","6","The shield returns your force.","The shield lowers.","10s vulnerability: DEF -300, EVA -100, MDEF -35; also removes one escalation stack.","Trophy Shield","hold","Final test at 30%: Trophy Shield - the shield waits to counter; hold attacks!","Stop all owner damage: disengage/turn, do not weapon skill, and let the window expire.","4","25","PARALYSIS","6","The shield returns your force.","The shield lowers.","12s vulnerability: DEF -300, EVA -100, MDEF -35; also removes one escalation stack.","ATT +500; MATT +200","ATT +175; MATT +55; Haste +0.25%","Only the player who popped the NM is checked; Trust actions do not fail hold-fire tests.","Red removes one escalation stack; Yellow suppresses spells and opens magic vulnerability; Blue suppresses TP moves and opens physical vulnerability.","First logical clear refunds half pop cost. 2+ real PCs: x2 Gil/Infamy. No Trusts: x1.5. Bonuses stack to x3.","adamastor"
"Nguruvilu","Abyssea - La Theine","1","Visions","Entry","No","Standard Visions encounter: one mechanic taught repeatedly and reinforced at both phase floors.","Enhanced Relic; no Atma assumed","5-7 min solo","120","4000000","6200000","8400000","200","25","250000","1000","6500","850","2000","700","800","700","250","300","20","10","50","24","52","240","30","Winter Egg","burst","Winter Egg - an icy shell forms; break 3% HP!","Deal 3% of maximum HP before the check: 120,000 solo / 186,000 with 2 PCs / 252,000 with 3+ PCs.","5","20","BLINDNESS","6","The shell seals its wounds.","The shell showers it in shards.","10s vulnerability: DEF -300, EVA -100, MDEF -35; also removes one escalation stack.","Winter Egg","burst","At 70%: Winter Egg - an icy shell forms; break 3% HP!","Deal 3% of maximum HP before the check: 120,000 solo / 186,000 with 2 PCs / 252,000 with 3+ PCs.","5","20","BLINDNESS","6","The shell seals its wounds.","The shell showers it in shards.","10s vulnerability: DEF -300, EVA -100, MDEF -35; also removes one escalation stack.","Winter Egg","burst","Final test at 30%: Winter Egg - an icy shell forms; break 3% HP!","Deal 3% of maximum HP before the check: 120,000 solo / 186,000 with 2 PCs / 252,000 with 3+ PCs.","4","25","BLINDNESS","6","The shell seals its wounds.","The shell showers it in shards.","12s vulnerability: DEF -300, EVA -100, MDEF -35; also removes one escalation stack.","ATT +500; MATT +200","ATT +175; MATT +55; Haste +0.25%","Only the player who popped the NM is checked; Trust actions do not fail hold-fire tests.","Red removes one escalation stack; Yellow suppresses spells and opens magic vulnerability; Blue suppresses TP moves and opens physical vulnerability.","First logical clear refunds half pop cost. 2+ real PCs: x2 Gil/Infamy. No Trusts: x1.5. Bonuses stack to x3.","nguruvilu"
"Pantagruel","Abyssea - La Theine","1","Visions","Entry","No","Standard Visions encounter: one mechanic taught repeatedly and reinforced at both phase floors.","Enhanced Relic; no Atma assumed","5-7 min solo","120","4000000","6200000","8400000","200","25","250000","1000","6500","850","2000","700","800","700","250","300","20","10","50","24","52","240","30","Oversized Step","move","Oversized Step - a giant foot shadows you; move 9 yalms!","Move at least 9 yalms from the position where the tell began.","5","20","SLOW","6","The stomp pins you down.","The stomp misses.","10s vulnerability: DEF -300, EVA -100, MDEF -35; also removes one escalation stack.","Oversized Step","move","At 70%: Oversized Step - a giant foot shadows you; move 9 yalms!","Move at least 9 yalms from the position where the tell began.","5","20","SLOW","6","The stomp pins you down.","The stomp misses.","10s vulnerability: DEF -300, EVA -100, MDEF -35; also removes one escalation stack.","Oversized Step","move","Final test at 30%: Oversized Step - a giant foot shadows you; move 9 yalms!","Move at least 9 yalms from the position where the tell began.","4","25","SLOW","6","The stomp pins you down.","The stomp misses.","12s vulnerability: DEF -300, EVA -100, MDEF -35; also removes one escalation stack.","ATT +500; MATT +200","ATT +175; MATT +55; Haste +0.25%","Only the player who popped the NM is checked; Trust actions do not fail hold-fire tests.","Red removes one escalation stack; Yellow suppresses spells and opens magic vulnerability; Blue suppresses TP moves and opens physical vulnerability.","First logical clear refunds half pop cost. 2+ real PCs: x2 Gil/Infamy. No Trusts: x1.5. Bonuses stack to x3.","pantagruel"
"Baba Yaga","Abyssea - La Theine","1","Visions","Entry","No","Standard Visions encounter: one mechanic taught repeatedly and reinforced at both phase floors.","Enhanced Relic; no Atma assumed","5-7 min solo","120","4000000","6200000","8400000","200","25","250000","1000","6500","850","2000","700","800","700","250","300","20","10","50","24","52","240","30","Piceous Veil","turn","Piceous Veil - black scales flash; turn away!","Turn away; the owner must not be facing the boss when the check resolves.","5","20","SILENCE","6","The veil clouds your senses.","The veil loses its reflection.","10s vulnerability: DEF -300, EVA -100, MDEF -35; also removes one escalation stack.","Piceous Veil","turn","At 70%: Piceous Veil - black scales flash; turn away!","Turn away; the owner must not be facing the boss when the check resolves.","5","20","SILENCE","6","The veil clouds your senses.","The veil loses its reflection.","10s vulnerability: DEF -300, EVA -100, MDEF -35; also removes one escalation stack.","Piceous Veil","turn","Final test at 30%: Piceous Veil - black scales flash; turn away!","Turn away; the owner must not be facing the boss when the check resolves.","4","25","SILENCE","6","The veil clouds your senses.","The veil loses its reflection.","12s vulnerability: DEF -300, EVA -100, MDEF -35; also removes one escalation stack.","ATT +500; MATT +200","ATT +175; MATT +55; Haste +0.25%","Only the player who popped the NM is checked; Trust actions do not fail hold-fire tests.","Red removes one escalation stack; Yellow suppresses spells and opens magic vulnerability; Blue suppresses TP moves and opens physical vulnerability.","First logical clear refunds half pop cost. 2+ real PCs: x2 Gil/Infamy. No Trusts: x1.5. Bonuses stack to x3.","babayaga"
"Megantereon","Abyssea - La Theine","1","Visions","Entry","No","Standard Visions encounter: one mechanic taught repeatedly and reinforced at both phase floors.","Enhanced Relic; no Atma assumed","5-7 min solo","120","4000000","6200000","8400000","200","25","250000","1000","6500","850","2000","700","800","700","250","300","20","10","50","24","52","240","30","Saber-Tooth Rush","near","Saber-Tooth Rush - it lines up a long rush; close within 5 yalms!","Move within 5 yalms of the boss.","5","20","PLAGUE","6","The full rush mauls you.","The tiger cannot build momentum.","10s vulnerability: DEF -300, EVA -100, MDEF -35; also removes one escalation stack.","Saber-Tooth Rush","near","At 70%: Saber-Tooth Rush - it lines up a long rush; close within 5 yalms!","Move within 5 yalms of the boss.","5","20","PLAGUE","6","The full rush mauls you.","The tiger cannot build momentum.","10s vulnerability: DEF -300, EVA -100, MDEF -35; also removes one escalation stack.","Saber-Tooth Rush","near","Final test at 30%: Saber-Tooth Rush - it lines up a long rush; close within 5 yalms!","Move within 5 yalms of the boss.","4","25","PLAGUE","6","The full rush mauls you.","The tiger cannot build momentum.","12s vulnerability: DEF -300, EVA -100, MDEF -35; also removes one escalation stack.","ATT +500; MATT +200","ATT +175; MATT +55; Haste +0.25%","Only the player who popped the NM is checked; Trust actions do not fail hold-fire tests.","Red removes one escalation stack; Yellow suppresses spells and opens magic vulnerability; Blue suppresses TP moves and opens physical vulnerability.","First logical clear refunds half pop cost. 2+ real PCs: x2 Gil/Infamy. No Trusts: x1.5. Bonuses stack to x3.","megantereon"
"Trudging Thomas","Abyssea - La Theine","1","Visions","Entry","No","Standard Visions encounter: one mechanic taught repeatedly and reinforced at both phase floors.","Enhanced Relic; no Atma assumed","5-7 min solo","120","4000000","6200000","8400000","200","25","250000","1000","6500","850","2000","700","800","700","250","300","20","10","50","24","52","240","30","Marbled Stampede","rear","Marbled Stampede - the ram lowers its horns; take the rear!","Move behind the boss (default safe rear arc is approximately 48 degrees).","5","20","AMNESIA","6","The horns launch you.","Thomas stumbles past.","10s vulnerability: DEF -300, EVA -100, MDEF -35; also removes one escalation stack.","Marbled Stampede","rear","At 70%: Marbled Stampede - the ram lowers its horns; take the rear!","Move behind the boss (default safe rear arc is approximately 48 degrees).","5","20","AMNESIA","6","The horns launch you.","Thomas stumbles past.","10s vulnerability: DEF -300, EVA -100, MDEF -35; also removes one escalation stack.","Marbled Stampede","rear","Final test at 30%: Marbled Stampede - the ram lowers its horns; take the rear!","Move behind the boss (default safe rear arc is approximately 48 degrees).","4","25","AMNESIA","6","The horns launch you.","Thomas stumbles past.","12s vulnerability: DEF -300, EVA -100, MDEF -35; also removes one escalation stack.","ATT +500; MATT +200","ATT +175; MATT +55; Haste +0.25%","Only the player who popped the NM is checked; Trust actions do not fail hold-fire tests.","Red removes one escalation stack; Yellow suppresses spells and opens magic vulnerability; Blue suppresses TP moves and opens physical vulnerability.","First logical clear refunds half pop cost. 2+ real PCs: x2 Gil/Infamy. No Trusts: x1.5. Bonuses stack to x3.","trudgingthomas"
"Carabosse","Abyssea - La Theine","1","Visions","Entry","Yes","Flagship encounter: repeats its signature, repeats it at 70%, then changes to a bespoke climax at 30%.","Enhanced Relic; no Atma assumed","5-7 min solo","120","4000000","6200000","8400000","200","25","250000","1000","6500","850","2000","700","800","700","250","300","20","10","50","24","52","240","30","Autumn Breeze","hold","Autumn Breeze - Autumn absorbs aggression; cease attacks!","Stop all owner damage: disengage/turn, do not weapon skill, and let the window expire.","5","20","SLOW","6","Autumn feeds on your attack.","The season turns and Carabosse is exposed.","10s vulnerability: DEF -300, EVA -100, MDEF -35; also removes one escalation stack.","Autumn Breeze","hold","At 70%: Autumn Breeze - Autumn absorbs aggression; cease attacks!","Stop all owner damage: disengage/turn, do not weapon skill, and let the window expire.","5","20","SLOW","6","Autumn feeds on your attack.","The season turns and Carabosse is exposed.","10s vulnerability: DEF -300, EVA -100, MDEF -35; also removes one escalation stack.","Winter to Summer","far","Final test at 30%: Winter to Summer - Winter gathers a cyclone; retreat 13 yalms!","Move at least 13 yalms from the boss.","4","25","SILENCE","6","The seasonal storm overwhelms you.","The season exhausts itself.","15s vulnerability: DEF -300, EVA -100, MDEF -35; also removes one escalation stack.","ATT +500; MATT +200","ATT +175; MATT +55; Haste +0.25%","Only the player who popped the NM is checked; Trust actions do not fail hold-fire tests.","Red removes one escalation stack; Yellow suppresses spells and opens magic vulnerability; Blue suppresses TP moves and opens physical vulnerability.","First logical clear refunds half pop cost. 2+ real PCs: x2 Gil/Infamy. No Trusts: x1.5. Bonuses stack to x3.","carabosse"
